悟性,115
战士,12578
所以,1847
手速,847
才能,1717
打团,479
报销,75
攒钱,231
斧王,6408
昨晚,1385
月骑,1814
末日,2661
术士,1200
核心,238
死骑,1177
沙王,333
河豚,74
法师,12175
注意,1027
火箭,3429
父王,94
片总,157
猎人,3795
留着,1794
留钱,668
白嫖,3216
的咯,71
盲人,1201
真香,4500
瞎子,15975
神域,46
种族,64
空格,186
站位,2389
第二,4688
精灵,7902
组合,1007
网吧,56
翔哥,3154
老三,951
老比,251
老陈,3506
职业,5168
落日,229
血入,2139
解锁,411
试试,8333
赌马,983
赏金,4457
起来,12919
锁住,730
露娜,6141
风行,3479
飞机,15239
骑士,19252
骨法,229
龙心,182
龙骑,8106
：我,37
NEC,1579
ame,624
loa,520
nec,3187
ruo,34
不会玩,773
个鸡儿,578
也不行,894
亚巴顿,553
你他妈,192
你妈呢,269
升人口,2297
吃利息,1218
地精流,47
士兵龙,126
大队长,58
姜瘤儿,231
存利息,67
小霸王,520
小鱼儿,90
左上角,128
差不多,1463
弟中弟,1351
张琪格,206
很厉害,672
德鲁伊,7286
战士流,268
拒绝者,431
放上去,75
有身份,93
棋技哥,147
江流儿,223
没玩过,153
没问题,1183
法师流,116
炸弹人,1341
玩地精,295
看不到,2314
看不懂,745
给剑圣,108
老流氓,186
自己悟,65
自走棋,3473
莽夫流,32
这个比,69
这游戏,4338
DOOM,815
XGNB,241
coco,268
ddsb,38
doom,3560
lich,1174
luna,1745
xgnb,924
zard,1027
人均无敌,167
仙人指路,28
倒数第一,1188
地精工匠,55
大树小鹿,108
套你猴子,37088
宝哥大气,49
小鹿卖了,277
小鹿大树,190
就是弟弟,377
我全都要,302
枫哥牛逼,231
笑死我了,2734
精灵刺客,546
老板大气,571
船长卖了,105
这个游戏,1640
一孕傻三年,63
一字长蛇阵,110
掩护张琪格,31
服务器炸了,218
泉水指挥官,28
宝哥生日快乐,567
50,2288
SF,2176
Y皇,97
sf,2719
三龙,5036
丢人,3396
人均,959
作者,5049
冰女,10039
前二,71
剧毒,1925
占位,99
吊打,128
备马,5274
大狗,872
天秀,207
屏蔽,410
影魔,9671
恰人,72
